id,title,body,category,priority
1,Anomalia stampante,La stampante laser ha un'anomalia nella stampa dei colori.,Tecnico,Bassa
2,Fatture errate,Ci sono problemi con le fatture inviate dai fornitori questo mes.e,Amministrazione,Media
3,Documentazioen,"Salve, avrei necessità che mi mandaste le certificaizoni uniche.",Amministrazione,Bassa
4,PC bloccati,"I computer dell'ufficio non si accendono, siamo tutti fermi.",Tecnico,Alta
5,Errroe IVA,L'importo caclolato per l'imposta contiene un errore.,Amministrazione,Media
6,Guasto portale,"Buongirono, vi comunico che il portale pagamenti ha un guasto.",Amministrazione,Alta
7,Calcolo sbagliato,Ho notato che la trattenuta in ubsta paga è sbgaliata.,Amministrazione,Media
8,Virus,Malware rilevato. PC inutilizzabile.,Tecnico,Alta
9,iVrus,Malware rilevato. PC inutilizzabile.,Tecnico,Alta
10,Server offline,"Il server princpiale ha subito un guasto hardware, siamo offlin.e",Tecnico,Alta
11,Virus,Malware rilevato. PC inutilizzabile.,Commerciale,Alta
12,Errore contratto,C'è un errore di battitura nella clausola 4 del contratto.,Commerciale,Media
13,Invio cataloghi,Ricordatevi di mandare i pdf con i nuovi cataloghi ai clienti stoirci.,Commerciale,Bassa
14,Coordinate IBAN,Mandatemi l'IBAN per il nuovo cliente americano.,Commerciale,Bassa
15,Guasto,Rete giù. Fate presto.,Tecnico,Alta
16,Call,Domani alle 10 call con prospect.,Commerciale,Alta
17,Sconto,Applicare sconot 10% subito.,Commerciale,Bassa
18,PC bloccato,"Il computre non si accende, la situazione è bloccante per il mio lavoro.",Tecnico,Alta
19,Errroe IVA,L'importo calcolato per l'imposta contiene un errore.,Amministrazione,Media
20,Anomalai listino,Ho riscontrato un'anomalia nel prezzo caricato a sistema.,Commerciale,Media
21,Errori di sistema,"I programmi restituiscono continiu errori, non irusciamo a lavorare.",Tecnico,Media
22,Probleam legale,Vi scrivo urgentemente perché il clietne ha mniacciato vie lgeali.,Commerciale,Alta
23,Password,Password scaduta. Reste urgente.,Tecnico,Media
24,Codici IBAN,Mandatemi i codici bancari e gli IBAN per i nuovi clienti.,Amministrazione,Bassa
25,Sconto,Applicare sconto 10% subito.,Commerciale,Bassa
26,Server offline,"Il server pirncipale ha subito un guasto hardware, simao offline.",Tecnico,Alta
27,Pagametno,Pagamento fornitore erspinto.,Amministrazione,Media
28,Calcloo sbagliato,Ho notato che la trattenuta in busta paga è sbagliata.,Amministrazione,Media
29,Errori IVA,Gli importi caloclati per le imposte contengono numerosi errori.,Amministrazione,Media
30,Guasto portale,"Buongiorno, vi comunico che il portale pagamenti ha un guasto.",Amministrazione,Alta
31,Errore contratto,C'è un errore di battitrua nella clausola 4 del contratto.,Commerciale,Media
32,Errori di sisetma,"I programmi restituiscono continui errori, non riusciamo a lavorare.",Tecnico,Media
33,PC bloccato,"Il copmuter non si accende, la situazione è bloccante per il mio lavoro.",Tecnico,Alta
34,Stipendio bloccato,Il bonifico del mio stipendio è bloccato in banca.,Amministrazione,Alta
35,Cdoici IBAN,Mandatemi i codici bancari e gli IBAN per i nuovi clienti.,Amministrazione,Bassa
36,Preventivi sbagliati,"Abbiamo inviato delle offerte con i prezzi sbagliati, vanno corrette.",Commerciale,Media
37,Ritardo,Forte ritardo consegna. Cliente furioso.,Commerciale,Media
38,Fattura da controllaer,C'è un problema con la fattura del forniotre Rossi.,Amministrazione,Media
39,Fatture errate,Ci sono porblemi con le fatture inviate dai ofrnitori questo mese.,Amministrazione,Media
40,Software in carsh,"Salve, volevo segnalare che il gestionale crasha in continuazione.",Tecnico,Alta
41,Guasto,Rete giù. Fate presto.,Tecnico,Alta
42,Urgenza monitor,"Lo schermo è nero, mi serve un intervento urgente.",Tecnico,Media
43,Contratti scaduti,"I rinnovi dei cnotratti sono scaduti, dobbiamo ricontattarli.",Commerciale,Alta
44,Server guasti,"I server principali sono caduti, l'intera rete aziendale è giù.",Tecnico,Alta
45,Sconto,Applicare sconto 10% subito.,Commerciale,Bassa
46,Virus,Malware rlievato. PC inutilizzabile.,Tecnico,Alta
47,Fattuar da controllare,C'è un problema con la fattura del ofrnitore Rossi.,Amministrazione,Media
48,Codici IBAN,Mandatemi i codici bancari e gli IBAN per i nuovi clienti.,Amministrazione,Bassa
49,Errore IVA,L'importo calcolato per l'imposta contiene un errore.,Amministrazione,Media
50,Problema legale,Vi scrivo urgentemente perché il cliente ha minacciato vie legali.,Commerciale,Alta
51,Lentezza navigazione,"Buongiorno, vi scrivo per segnalare che da questa mattina si registra un rallentamento della rete.",Tecnico,Media
52,Urgenza monitor,"Lo schermo è nero, mi sevre un intervento urgente.",Tecnico,Alta
53,uGasto,Rete giù. Fate presto.,Tecnico,Alta
54,Contartti scaduti,"I rinnovi dei contratti sono scaduti, dobbiamo ricontattarli.",Commerciale,Alta
