ID,Testo
ID;Testo
1;Il PC aziendale si è bloccato improvvisamente e lo schermo è tutto nero. Aiuto urgente!
2;Buongiorno, non riesco ad accedere alla rete dell'ufficio. La connessione cade di continuo.
3;Ho bisogno di delucidazioni sul pagamento della mia ultima busta paga, credo manchino degli straordinari.
4;Il cliente Bianchi ha richiesto un preventivo urgente per la nuova fornitura.
5;Scusate, la password della mia email aziendale è scaduta e non riesco a fare il reset per entrare.
6;C'è un problema con la fattura 405 del fornitore. Risulta un blocco nei pagamenti.
7;Necessito di informazioni aggiornate sui prezzi del nostro catalogo per un potenziale nuovo cliente.
8;La stampante del terzo piano è bloccata, c'è un foglio incastrato e non stampa più nulla.
9;Richiesta di inserimento ferie per il periodo natalizio. Il sistema HR mi dà un errore.
10;Dobbiamo inviare il contratto di rinnovo al cliente entro domani altrimenti perdiamo l'accordo.
